year,tract,Total_Pop,Black,White,Native_Hawaiian_or_Pacific_Islander,Asian,Native_American,Other,MedianRent,Moved in 2015 or later,Moved in 2017 or later,Built 2010 or later,SNAP benefits,Bachelor's degree,Median household income,Mean household income,Total_Housing_Units,Built_2014_or_Later,Built_2010_or_Later,Moved_In_2010_or_Later,Percent_Service_Occupations,Percent_Production_MaterialMoving_Transportation_Construction_Occupations,Percent_Management_Business_Science_Arts_Occupations,Percent_Sales_and_Office_Occupations,NAMELSAD
2016,"Census Tract 413, Erie County, Ohio",3857,2236,5210,0,51,436,30,595,84,,,46176,354,37614,46176,18.8,0,0,747,18.8,22.8,23.2,29.7,Census Tract 413
2016,"Census Tract 414, Erie County, Ohio",2655,562,4806,0,96,88,16,811,8,,,69761,270,53371,69761,17.9,0,0,191,17.9,20.8,24.8,31.2,Census Tract 414
2016,"Census Tract 415, Erie County, Ohio",3430,188,6438,0,318,90,56,819,92,,,80709,588,51736,80709,15.2,7,0,415,15.2,12.4,40.7,24.3,Census Tract 415
2016,"Census Tract 416, Erie County, Ohio",5601,391,10509,0,391,209,80,914,91,,,78816,835,73644,78816,21.7,0,21,618,21.7,15.5,35.2,21.4,Census Tract 416
2016,"Census Tract 417, Erie County, Ohio",6473,254,12573,17,89,111,128,712,36,,,62146,464,51788,62146,20.2,22,10,613,20.2,23.8,25.7,19.5,Census Tract 417
2016,"Census Tract 418, Erie County, Ohio",6106,246,11963,0,192,70,32,829,45,,,82838,425,76045,82838,14,3,38,484,14,20.3,33.7,23.6,Census Tract 418
2016,"Census Tract 9901, Erie County, Ohio",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,Census Tract 9901
2015,"Census Tract 401, Erie County, Ohio",5714,172,11256,32,32,0,34,850,0,,,67435,269,51825,67435,18.9,0,23,718,18.9,15.4,30.2,23.8,Census Tract 401
2015,"Census Tract 402, Erie County, Ohio",3822,40,7574,0,65,98,60,959,0,,,70832,311,54883,70832,16.5,0,0,320,16.5,20.5,28.8,22.7,Census Tract 402
2015,"Census Tract 403, Erie County, Ohio",6299,214,12326,34,51,250,49,771,3,,,73177,509,60724,73177,14.7,13,15,410,14.7,14.9,35.3,22.6,Census Tract 403
2015,"Census Tract 404, Erie County, Ohio",5432,52,10628,0,252,16,0,896,14,,,84854,870,61679,84854,22.2,0,25,220,22.2,10.1,40.9,18.9,Census Tract 404
2015,"Census Tract 405, Erie County, Ohio",4982,525,9665,0,26,0,154,785,0,,,57726,779,44962,57726,24.3,0,0,589,24.3,14.4,32.5,23.4,Census Tract 405
2015,"Census Tract 406, Erie County, Ohio",817,0,1600,0,51,6,0,856,0,,,126628,203,80156,126628,7.7,0,4,21,7.7,8.2,46.5,36.8,Census Tract 406
2015,"Census Tract 407, Erie County, Ohio",3964,1984,6132,22,90,122,100,617,30,,,64691,275,38102,64691,29.1,0,0,658,29.1,16.6,26.4,25.6,Census Tract 407
2015,"Census Tract 408, Erie County, Ohio",4080,1958,6228,180,58,24,160,597,110,,,33971,324,26020,33971,43.7,0,0,838,43.7,21.4,13.4,16.2,Census Tract 408
2015,"Census Tract 409, Erie County, Ohio",3364,884,5944,0,95,0,0,693,0,,,45983,253,35743,45983,20.8,0,11,430,20.8,18.9,27.5,17.9,Census Tract 409
2015,"Census Tract 410, Erie County, Ohio",3406,2336,4446,0,6,42,306,570,45,,,36533,238,31681,36533,33.8,0,0,489,33.8,17.1,20.1,23.9,Census Tract 410
2015,"Census Tract 411, Erie County, Ohio",3697,2107,5779,0,0,69,27,626,25,,,43357,225,32658,43357,25.1,0,0,523,25.1,25.4,28,11,Census Tract 411
2015,"Census Tract 412, Erie County, Ohio",2380,1867,2953,0,0,23,210,676,35,,,42039,93,30000,42039,30.1,0,0,286,30.1,26,14.2,25.8,Census Tract 412
2015,"Census Tract 413, Erie County, Ohio",3810,2394,4956,0,3,347,50,548,33,,,50377,306,38594,50377,19,0,0,628,19,27.1,21.9,25.5,Census Tract 413
2015,"Census Tract 414, Erie County, Ohio",2585,548,4692,0,45,8,18,712,0,,,70216,280,54682,70216,20.4,0,0,127,20.4,18,23.6,32.3,Census Tract 414
2015,"Census Tract 415, Erie County, Ohio",3498,196,6740,0,90,32,82,813,19,,,76427,587,50735,76427,18.5,0,0,308,18.5,15.4,34.9,23.6,Census Tract 415
2015,"Census Tract 416, Erie County, Ohio",5720,383,10779,0,470,183,54,836,16,,,76701,843,70085,76701,22.9,0,20,496,22.9,15.8,34.9,21.2,Census Tract 416
2015,"Census Tract 417, Erie County, Ohio",6451,138,12567,28,102,246,167,741,16,,,60587,465,50759,60587,21.8,11,10,626,21.8,24.3,25.3,17.8,Census Tract 417
2015,"Census Tract 418, Erie County, Ohio",6120,142,12001,0,200,180,22,909,14,,,83750,403,73850,83750,14.8,2,35,364,14.8,17.1,35.8,23.8,Census Tract 418
2015,"Census Tract 9901, Erie County, Ohio",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,Census Tract 9901
2014,"Census Tract 401, Erie County, Ohio",5830,218,11586,0,0,0,26,857,,,,64018,372,51934,64018,21.6,,23,,21.6,15.3,27.3,24.7,Census Tract 401
2014,"Census Tract 402, Erie County, Ohio",3763,28,7516,0,15,98,0,975,,,,64412,249,50237,64412,14.3,,0,,14.3,22.2,28.3,24.5,Census Tract 402
2014,"Census Tract 403, Erie County, Ohio",6190,154,12154,30,60,262,64,823,,,,71584,567,61016,71584,13.4,,0,,13.4,12.3,34.8,25.1,Census Tract 403
2014,"Census Tract 404, Erie County, Ohio",5359,54,10440,0,300,24,0,836,,,,84223,985,62091,84223,20.4,,15,,20.4,10.8,42.7,19.3,Census Tract 404
2014,"Census Tract 405, Erie County, Ohio",5070,506,9834,0,32,0,162,775,,,,58391,771,51838,58391,21.2,,0,,21.2,14.5,31.7,27.3,Census Tract 405
2014,"Census Tract 406, Erie County, Ohio",895,20,1736,0,24,6,18,675,,,,141891,228,107500,141891,7.6,,4,,7.6,3.2,59.4,26.9,Census Tract 406
2014,"Census Tract 407, Erie County, Ohio",3959,1982,6058,23,93,104,115,643,,,,52049,230,32620,52049,30.5,,0,,30.5,16.3,25.5,25.1,Census Tract 407
2014,"Census Tract 408, Erie County, Ohio",4170,2250,6374,184,92,80,26,555,,,,34043,327,24932,34043,42.4,,0,,42.4,21.7,14,16.1,Census Tract 408
2014,"Census Tract 409, Erie County, Ohio",3389,772,6034,0,89,0,26,621,,,,45929,221,38750,45929,21.6,,10,,21.6,22.6,29.2,13,Census Tract 409
2014,"Census Tract 410, Erie County, Ohio",3321,2202,4425,0,8,62,256,610,,,,40832,248,42588,40832,30.7,,0,,30.7,15.8,21.7,26.6,Census Tract 410
2014,"Census Tract 411, Erie County, Ohio",3746,2208,5710,0,0,162,28,612,,,,44809,195,33879,44809,23.2,,0,,23.2,22.4,26.4,16.7,Census Tract 411
