"","year","tract","Black","MedianRent","Moved in 2015 or later","Moved in 2017 or later","Built 2010 or later","SNAP benefits","Bachelor's degree","Median household income","Mean household income","NAMELSAD"
"86",2014,"Census Tract 410, Erie County, Ohio",2064,610,NA,NA,NA,40832,248,42588,40832,"Census Tract 410"
"87",2014,"Census Tract 411, Erie County, Ohio",1937,612,NA,NA,NA,44809,195,33879,44809,"Census Tract 411"
"88",2014,"Census Tract 412, Erie County, Ohio",1512,661,NA,NA,NA,39252,104,28804,39252,"Census Tract 412"
"89",2014,"Census Tract 413, Erie County, Ohio",2138,625,NA,NA,NA,59840,291,45254,59840,"Census Tract 413"
"90",2014,"Census Tract 414, Erie County, Ohio",745,651,NA,NA,NA,61538,290,53618,61538,"Census Tract 414"
"91",2014,"Census Tract 415, Erie County, Ohio",154,825,NA,NA,NA,83974,598,60847,83974,"Census Tract 415"
"92",2014,"Census Tract 416, Erie County, Ohio",303,888,NA,NA,NA,73255,731,62174,73255,"Census Tract 416"
"93",2014,"Census Tract 417, Erie County, Ohio",24,741,NA,NA,NA,65605,422,50797,65605,"Census Tract 417"
"94",2014,"Census Tract 418, Erie County, Ohio",117,904,NA,NA,NA,84584,375,74894,84584,"Census Tract 418"
"95",2014,"Census Tract 9901, Erie County, Ohio",0,0,NA,NA,NA,0,0,0,0,"Census Tract 9901"
"96",2013,"Census Tract 401, Erie County, Ohio",122,822,NA,63538,NA,NA,426,51553,63538,"Census Tract 401"
"97",2013,"Census Tract 402, Erie County, Ohio",20,892,NA,65207,NA,NA,272,50268,65207,"Census Tract 402"
"98",2013,"Census Tract 403, Erie County, Ohio",101,839,NA,62828,NA,NA,563,56842,62828,"Census Tract 403"
"99",2013,"Census Tract 404, Erie County, Ohio",46,672,NA,83392,NA,NA,892,57589,83392,"Census Tract 404"
"100",2013,"Census Tract 405, Erie County, Ohio",302,698,NA,60596,NA,NA,884,50714,60596,"Census Tract 405"
"101",2013,"Census Tract 406, Erie County, Ohio",56,817,NA,132411,NA,NA,218,111667,132411,"Census Tract 406"
"102",2013,"Census Tract 407, Erie County, Ohio",1849,670,NA,52410,NA,NA,219,34562,52410,"Census Tract 407"
"103",2013,"Census Tract 408, Erie County, Ohio",2009,568,NA,35348,NA,NA,267,23698,35348,"Census Tract 408"
"104",2013,"Census Tract 409, Erie County, Ohio",788,609,NA,44570,NA,NA,197,38220,44570,"Census Tract 409"
"105",2013,"Census Tract 410, Erie County, Ohio",1918,556,NA,40946,NA,NA,162,40658,40946,"Census Tract 410"
"106",2013,"Census Tract 411, Erie County, Ohio",1671,648,NA,44723,NA,NA,245,35339,44723,"Census Tract 411"
"107",2013,"Census Tract 412, Erie County, Ohio",1511,613,NA,41299,NA,NA,135,29167,41299,"Census Tract 412"
